geographic_level,code,location,timestamp,action,startdate_action,enddate_action,details_action,Zielgruppe,source
Bundesland,5,NRW,2020-03-17,"Schließung nahezu aller Freizeitangebote, Einrichtungen und Begegnungsstätten",,,,,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/200315_Erlass%20weitere%20kontaktreduzierende%20Ma-nahmen.pdf
Bundesland,5,NRW,,Unis und Hochschulen Verlegung auf April 19,,,,,
Bundesland,5,NRW,2020-03-13,Schließung aller Schulen und Kitas,2020-03-16,2020-04-19,,,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/_200313_Erlass%20Schulschlie-ungen.pdf.pdf
Bundesland,5,NRW,2020-03-13,"Reduzierung Besuche in Pflegeheimen, Altenheimen, Krankenhäusern ",,,,,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/_ErlassCoronaBesuchseinschr-nkungPflege.pdf
,,,,,,,,,
Bundesland,,Mecklenburg Vorpommern,2020-03-12,Verbot von Veranstaltungen,2020-03-12,2020-04-19,Verbot von Veranstaltungen von  über 1000 Teilnehmern,,
Bundesland,,Mecklenburg Vorpommern,2020-03-16,Verbot von Veranstaltungen,2020-03-16,2020-04-19,Verbot von Veranstaltungen von  über 50 Teilnehmern,,
Bundesland,,Mecklenburg Vorpommern,2020-03-16,Betretungsverbot,2020-03-16,2020-04-19,"14 Tage Betretungsverbot für Reiserückkehrer aus Krisengebieten in Krankenhäusern, Kindertagesstätten und Schulen",,
Bundesland,,Mecklenburg Vorpommern,2020-03-14,Schließung von Schulen,2020-03-16,2020-04-19,"Zutritt zu Schulen und Kindertagesstätten untersagt, Notbetreuung",,
Bundesland,,Mecklenburg Vorpommern,2020-03-14,Aufschub von nicht dringenden medizinischen Eingriffen,2020-03-15,2020-04-19,Nicht dringende medizinische Eingriffe sind aufzuschieben,,
Bundesland,,Mecklenburg Vorpommern,2020-03-14,Schließung öffentlicher Einrichtungen,2020-03-15,2020-04-19,"Schließung von Museen, Bädern, Bibliotheken, Sportstätten",,
Bundesland,,Mecklenburg Vorpommern,2020-03-14,Besuchsverbot,2020-03-15,2020-04-19,Besuchsverbot in Krankenhäusern und Alten- und Pfelgeheimen,,
Bundesland,,Mecklenburg Vorpommern,2020-03-14,Reiserückkehrer,2020-03-15,2020-04-19,Reiserückkehrer aus Risikogebieten sollten von zu Hause arbeiten,,
,,,,,,,,,
,,,,,,,,,
Bundesland,16,Thüringen,2020-03-14,Verbot von Veranstaltungen von mehr als 50 Leuten,2020-03-14,2020-04-10,Verbot von mehr als 50 Personen sowie Auflagen für Veranstaltungen von weniger als 50 (Absage nicht notwendiger Veranstaltungen),,https://www.mdr.de/thueringen/coronavirus-thueringen-erlass-veranstaltungen-100-downloadFile.pdf
Bundesland,16,Thüringen,2020-03-18,"Schließung öffentlicher Einrichtungen wie Theater, Bars etc.",2020-03-18,,,,
Bundesland,16,Thüringen,,Schließung Schulen,2020-03-17,,,,
Bundesland,16,Thüringen,,Verbot von Veranstaltungen von mehr als 1000 Leuten,2020-03-10,,,,
,,,,,,,,,
Bundesland,,Hamburg,2020-03-11,Reiserückkehrer,2020-03-11,unbekannt,Kinder zurückkehrend aus Risikogebieten dürfen 14 Tage Schulen und Kindergärten nicht betreten,,
Bundesland,,Hamburg,2020-03-12,Verbot von Veranstaltungen,2020-03-12,2020-04-20,Verbot von Veranstaltungen von über 1000 Teilnehmern und im Großen Saal der Elbphilharmonie,,
Bundesland,,Hamburg,2020-03-12,Schließung von Schulen,2020-03-16,2020-03-29,Schließung von Schulen bis auf Notbetreuung,,
Bundesland,,Hamburg,2020-03-15,Verbot von Veranstaltungen und Schließung von Kultureinrichtungen,2020-03-15,unbekannt,"Verbot aller Veranstaltungen, Ausnahme privat bis zu 100 Personen, Schließung von Kinos, Theatern, Bibliotheken, Konzerten, etc., Schließung von Sportanlagen",,
Bundesland,,Hamburg,2020-03-16,Schließung Einzelhandel,2020-03-16,unbekannt,Schließung Einzelhandel bis auf Grundversorgung,,
Bundesland,,Hamburg,2020-03-16,Einschränkung Tourismus,2020-03-16,unbekannt,"Verbot touristischer Übernachtungen, Sperrung Insel Neuwerk sowie Spielplätze, Beschränkungen für Gaststätten",,
Bundesland,,Hamburg,2020-03-17,Einschränkung Besuche,2020-03-17,unbekannt,"Vebot von Besuchen in Pflegeeinrichtungen und Krankenhäuser für Kinder unter 16, Atemwegserkrankte sowie Reiserückkehrer",,
Bundesland,,Hamburg,2020-03-19,Aufhebung Sonntagsarbeitsverbot,2020-03-18,2020-04-30,Aufhebung Sonntagsarbeitsverbot für medizinische Berufe sowie Lebensmittelproduktion,,
Bundesland,,Hamburg,2020-03-20,Verbot von Versammlungen sowie Schließung der Gaststätten,2020-03-20,2020-04-16,"Verbot von Versammlungen von mehr als 6 Leuten, Schließung aller Gaststätten",,
Bundesland,,Hamburg,2020-03-20,Schließung von Kindertagesstätten,2020-03-20,2020-04-19,Schließung der Kindertagesstätten,,
,,,,,,,,,
Bundesland,,Rheinland-Pfalz,,,,,,,
